region_code,council_code,name_sw,name_en,council_type
MARA,MARA_MUSOMA_DC,Halmashauri ya Wilaya ya Musoma,Musoma District Council,DISTRICT
MARA,MARA_MUSOMA_MC,Halmashauri ya Manispaa ya Musoma,Musoma Municipal Council,MUNICIPAL
MARA,MARA_BUNDA_DC,Halmashauri ya Wilaya ya Bunda,Bunda District Council,DISTRICT
MARA,MARA_BUNDA_TC,Halmashauri ya Mji wa Bunda,Bunda Town Council,TOWN
MARA,MARA_BUTIAMA_DC,Halmashauri ya Wilaya ya Butiama,Butiama District Council,DISTRICT
MARA,MARA_RORYA_DC,Halmashauri ya Wilaya ya Rorya,Rorya District Council,DISTRICT
MANYARA,MANYARA_BABATI_DC,Halmashauri ya Wilaya ya Babati,Babati District Council,DISTRICT
MANYARA,MANYARA_BABATI_TC,Halmashauri ya Mji wa Babati,Babati Town Council,TOWN
MANYARA,MANYARA_HANANG_DC,Halmashauri ya Wilaya ya Hanang,Hanang District Council,DISTRICT
MANYARA,MANYARA_MBULU_DC,Halmashauri ya Wilaya ya Mbulu,Mbulu District Council,DISTRICT
MANYARA,MANYARA_MBULU_TC,Halmashauri ya Mji wa Mbulu,Mbulu Town Council,TOWN
MANYARA,MANYARA_SIMANJIRO_DC,Halmashauri ya Wilaya ya Simanjiro,Simanjiro District Council,DISTRICT
MANYARA,MANYARA_KITETO_DC,Halmashauri ya Wilaya ya Kiteto,Kiteto District Council,DISTRICT
NJOMBE,NJOMBE_NJOMBE_DC,Halmashauri ya Wilaya ya Njombe,Njombe District Council,DISTRICT
NJOMBE,NJOMBE_NJOMBE_TC,Halmashauri ya Mji wa Njombe,Njombe Town Council,TOWN
NJOMBE,NJOMBE_MAKAMBAKO_TC,Halmashauri ya Mji wa Makambako,Makambako Town Council,TOWN
NJOMBE,NJOMBE_LUDEWA_DC,Halmashauri ya Wilaya ya Ludewa,Ludewa District Council,DISTRICT
NJOMBE,NJOMBE_MAKETE_DC,Halmashauri ya Wilaya ya Makete,Makete District Council,DISTRICT
NJOMBE,NJOMBE_WANGING_OMBE_DC,Halmashauri ya Wilaya ya Wanging'ombe,Wanging'ombe District Council,DISTRICT
KATAVI,KATAVI_MPANDA_MC,Halmashauri ya Manispaa ya Mpanda,Mpanda Municipal Council,MUNICIPAL
KATAVI,KATAVI_NSIMBO_DC,Halmashauri ya Wilaya ya Nsimbo,Nsimbo District Council,DISTRICT
KATAVI,KATAVI_TANGANYIKA_DC,Halmashauri ya Wilaya ya Tanganyika,Tanganyika District Council,DISTRICT
KATAVI,KATAVI_MLELE_DC,Halmashauri ya Wilaya ya Mlele,Mlele District Council,DISTRICT
KATAVI,KATAVI_MPIMBWE_DC,Halmashauri ya Wilaya ya Mpimbwe,Mpimbwe District Council,DISTRICT
SIMIYU,SIMIYU_BARIADI_DC,Halmashauri ya Wilaya ya Bariadi,Bariadi District Council,DISTRICT
SIMIYU,SIMIYU_BARIADI_TC,Halmashauri ya Mji wa Bariadi,Bariadi Town Council,TOWN
SIMIYU,SIMIYU_ITILIMA_DC,Halmashauri ya Wilaya ya Itilima,Itilima District Council,DISTRICT
SIMIYU,SIMIYU_MEATU_DC,Halmashauri ya Wilaya ya Meatu,Meatu District Council,DISTRICT
SIMIYU,SIMIYU_MASWA_DC,Halmashauri ya Wilaya ya Maswa,Maswa District Council,DISTRICT
SIMIYU,SIMIYU_BUSEGA_DC,Halmashauri ya Wilaya ya Busega,Busega District Council,DISTRICT
GEITA,GEITA_GEITA_DC,Halmashauri ya Wilaya ya Geita,Geita District Council,DISTRICT
GEITA,GEITA_GEITA_TC,Halmashauri ya Mji wa Geita,Geita Town Council,TOWN
GEITA,GEITA_NYANG_HWALE_DC,Halmashauri ya Wilaya ya Nyang'hwale,Nyang'hwale District Council,DISTRICT
GEITA,GEITA_MBOGWE_DC,Halmashauri ya Wilaya ya Mbogwe,Mbogwe District Council,DISTRICT
GEITA,GEITA_BUKOMBE_DC,Halmashauri ya Wilaya ya Bukombe,Bukombe District Council,DISTRICT
GEITA,GEITA_CHATO_DC,Halmashauri ya Wilaya ya Chato,Chato District Council,DISTRICT
SONGWE,SONGWE_MOMBA_DC,Halmashauri ya Wilaya ya Momba,Momba District Council,DISTRICT
